id,identifica,bouwjaar,status,gebruiksdo,oppervlakt,oppervla_1,aantal_ver,geometry
pand.10097372,1783100000041381,1971,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((76969.99000000001 448613.685 0, 76962.599 448610.321 0, 76959.69 448616.712 0, 76967.08100000001 448620.076 0, 76969.99000000001 448613.685 0))"
pand.10097373,1783100000041600,1988,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((76908.817 448626.416 0, 76905.75999999999 448632.163 0, 76932.33 448646.662 0, 76935.47199999999 448640.938 0, 76934.128 448640.121 0, 76939.826 448629.265 0, 76940.84 448629.878 0, 76946.94500000001 448618.4 0, 76923.46000000001 448605.91 0, 76921.95699999999 448608.735 0, 76918.77899999999 448607.045 0, 76911.196 448621.304 0, 76912.874 448622.196 0, 76910.23 448627.167 0, 76908.817 448626.416 0))"
pand.10099583,1783100000030379,2007,Sloopvergunning verleend,woonfunctie,148,148,1,"POLYGON Z ((74478.709 442901.24 0, 74488.526 442893.145 0, 74484.219 442887.922 0, 74482.73699999999 442889.143 0, 74474.406 442896.02 0, 74478.709 442901.24 0))"
pand.2663848,518100000276410,1975,Sloopvergunning verleend,overige gebruiksfunctie,6,6,1,"POLYGON Z ((80054.743 454783.067 0, 80055.89599999999 454780.864 0, 80052.83900000001 454779.264 0, 80051.67999999999 454781.449 0, 80054.743 454783.067 0))"
pand.2664716,518100000277347,1980,Sloopvergunning verleend,bijeenkomstfunctie,137,292,4,"POLYGON Z ((75022.435 454058.159 0, 75027.712 454053.677 0, 75028.659 454052.877 0, 75029.71400000001 454051.947 0, 75029.442 454051.614 0, 75031.05100000001 454050.304 0, 75028.109 454046.829 0, 75021.936 454039.512 0, 75005.982 454053.023 0, 75007.095 454054.345 0, 75006.348 454054.992 0, 75007.598 454056.442 0, 75008.34 454055.802 0, 75012.17600000001 454060.327 0, 75015.25900000001 454063.964 0, 75018.637 454061.108 0, 75018.766 454061.261 0, 75022.435 454058.159 0))"
pand.4632267,503100000004165,1912,Sloopvergunning verleend,industriefunctie,13,13,1,"POLYGON Z ((85446.99099999999 445192.624 0, 85451.163 445194.354 0, 85452.30899999999 445191.591 0, 85448.137 445189.861 0, 85446.99099999999 445192.624 0))"
pand.4732361,518100000354309,1931,Sloopvergunning verleend,woonfunctie,48,76,5,"POLYGON Z ((81559.352 452123.717 0, 81552.247 452119.74 0, 81550.37 452118.689 0, 81550.95 452117.784 0, 81548.84699999999 452116.547 0, 81548.69100000001 452115.736 0, 81547.255 452114.899 0, 81546.431 452115.286 0, 81545.683 452114.896 0, 81543.33199999999 452119.106 0, 81542.117 452121.28 0, 81544.742 452122.73 0, 81543.269 452125.36 0, 81554.808 452131.877 0, 81559.352 452123.717 0))"
pand.4733024,518100000355002,1980,Sloopvergunning verleend,"bijeenkomstfunctie, winkelfunctie",84,98,2,"POLYGON Z ((74955.36900000001 453958.877 0, 74953.30100000001 453956.435 0, 74953.447 453956.313 0, 74951.485 453953.967 0, 74953.496 453952.256 0, 74949.49000000001 453947.459 0, 74933.31299999999 453960.751 0, 74930.258 453963.254 0, 74936.217 453970.292 0, 74938.609 453968.276 0, 74949.47 453959.106 0, 74950.077 453959.848 0, 74952.855 453963.246 0, 74955.67999999999 453960.854 0, 74954.575 453959.549 0, 74955.36900000001 453958.877 0))"
pand.3270383,637100000134884,2001,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((94023.61900000001 452430.958 0, 94021.003 452428.214 0, 94019.353 452429.781 0, 94021.97900000001 452432.525 0, 94023.61900000001 452430.958 0))"
pand.696385,1783100000060663,1976,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((78014.454 444655.06 0, 78014.48299999999 444655.018 0, 78027.704 444664.154 0, 78035.981 444652.299 0, 78030.89200000001 444648.814 0, 78043.037 444631.077 0, 78055.049 444613.774 0, 78000.00900000001 444574.615 0, 78000 444574.609 0, 77983.63099999999 444562.941 0, 77972.72100000001 444555.151 0, 77962.811 444548.081 0, 77951.183 444539.792 0, 77943.07000000001 444533.992 0, 77932.966 444548.318 0, 77924.655 444560.153 0, 77915.768 444572.707 0, 77909.76700000001 444581.002 0, 77929.253 444594.942 0, 77940.97 444603.212 0, 77940.807 444603.444 0, 77896.38099999999 444666.563 0, 77949.033 444703.622 0, 77985.24099999999 444652.339 0, 77984.90399999999 444652.106 0, 77993.319 444640.247 0, 78014.454 444655.06 0))"
pand.696394,1783100000060674,1964,Sloopvergunning verleend,industriefunctie,185,185,1,"POLYGON Z ((78088.41099999999 444594.087 0, 78091.58900000001 444596.447 0, 78102.90300000001 444580.696 0, 78095.268 444575.213 0, 78084.042 444590.843 0, 78088.41099999999 444594.087 0))"
pand.696398,1783100000060679,1991,Sloopvergunning verleend,industriefunctie,221,221,1,"POLYGON Z ((78123.51700000001 444546.361 0, 78138.561 444525.238 0, 78137.255 444524.311 0, 78134.391 444522.278 0, 78131.435 444520.181 0, 78116.641 444541.425 0, 78123.51700000001 444546.361 0))"
pand.696399,1783100000060682,1985,Sloopvergunning verleend,None,0,0,0,"POLYGON Z ((78148.984 444503.014 0, 78153.677 444506.29 0, 78157.01700000001 444508.621 0, 78163.226 444500 0, 78163.28 444499.925 0, 78169.709 444491.085 0, 78166.781 444488.946 0, 78162.518 444485.832 0, 78160.209 444489.111 0, 78159.42 444488.654 0, 78148.984 444503.014 0))"
